,Month,WeekofMonth,Site,EnteroCountsGreaterThan110,GMeanEnteroCount,MaxYear,MeanRainAmount,MinYear,SampleCount,HistoricallySafe,BestSite
0,1,1,Nyack Launch Ramp,2.0,365.5598446219167,2012,0.1,2011,2,False,1
1,1,1,Piermont Pier,3.0,1167.1270657818677,2012,0.06666666666666667,2010,3,False,2
2,1,1,Upper Sparkill Creek,3.0,1247.7646406510703,2012,0.06666666666666667,2010,3,False,3
3,1,2,Piermont Pier,2.0,640.2390178675463,2011,0.0,2010,2,False,2
4,1,2,Upper Sparkill Creek,1.0,104.6326908762267,2011,0.0,2010,2,False,1
5,1,3,Piermont Pier,1.0,597.9999999999998,2010,0.3,2010,1,False,1
6,1,3,Upper Sparkill Creek,1.0,517.0,2010,0.3,2010,1,False,2
7,1,4,Nyack Launch Ramp,0.0,85.00000000000001,2010,1.3,2010,1,True,1
8,1,4,Piermont Pier,2.0,752.0312493507167,2010,0.65,2009,2,False,3
9,1,4,Upper Sparkill Creek,1.0,137.98550648528266,2010,0.65,2009,2,False,2
10,2,1,Nyack Launch Ramp,2.0,226.73332353229438,2012,0.2,2011,2,False,2
11,2,1,Piermont Pier,4.0,357.4584508632358,2012,0.12000000000000002,2009,5,False,3
12,2,1,Upper Sparkill Creek,1.0,25.140113682094945,2012,0.1,2009,4,False,1
13,2,2,Piermont Pier,2.0,663.2420372684468,2010,0.0,2009,2,False,2
14,2,2,Upper Sparkill Creek,1.0,45.923850012820125,2010,0.0,2009,2,False,1
15,2,3,Piermont Pier,2.0,448.26331547428697,2010,0.05,2009,2,False,2
16,2,3,Upper Sparkill Creek,0.0,24.81934729198172,2010,0.05,2009,2,True,1
17,2,4,Piermont Pier,2.0,600.9991680526687,2010,0.0,2009,2,False,2
18,2,4,Upper Sparkill Creek,1.0,51.08815909777922,2010,0.0,2009,2,False,1
19,3,1,Nyack Launch Ramp,1.0,219.8203812206684,2012,1.25,2011,2,False,1
20,3,1,Piermont Pier,4.0,597.843298671592,2012,0.7000000000000001,2009,4,False,3
21,3,1,Upper Sparkill Creek,2.0,72.11819820599531,2012,0.725,2009,4,False,2
22,3,2,Nyack Launch Ramp,0.0,19.999999999999996,2010,0.0,2010,1,True,2
23,3,2,Piermont Pier,2.0,306.4849099058548,2010,0.05,2009,2,False,3
24,3,2,Upper Sparkill Creek,0.0,22.978250586152114,2010,0.05,2009,2,True,1
25,3,3,Piermont Pier,2.0,439.0740256494341,2010,0.35,2009,2,False,2
26,3,3,Upper Sparkill Creek,0.0,66.33249580710802,2010,0.35,2009,2,True,1
27,3,4,Piermont Pier,4.0,799.3180362932806,2010,0.9,2009,4,False,2
28,3,4,Upper Sparkill Creek,2.0,65.83446467038391,2010,0.9,2009,4,False,1
29,4,1,Nyack Launch Ramp,0.0,47.8957200593122,2011,0.1,2010,2,True,1
30,4,1,Piermont Pier,2.0,439.6100544801039,2011,0.1,2010,2,False,2
31,4,1,Upper Sparkill Creek,2.0,204.0220576310316,2011,0.1,2010,2,False,3
32,4,2,Nyack Launch Ramp,0.0,10.000000000000002,2012,0.0,2012,1,True,2
33,4,2,Piermont Pier,4.0,551.1940402896471,2012,0.275,2009,4,False,3
34,4,2,Upper Sparkill Creek,0.0,25.570912127224172,2012,0.275,2009,4,True,1
35,4,3,79th St. mid-channel,1.0,205.00000000000006,2007,8.5,2007,1,False,3
36,4,3,East River mid-channel at 23rd St.,1.0,376.00000000000006,2007,8.5,2007,1,False,4
37,4,3,East River mid-channel at Roosevelt Is.,1.0,343.99999999999994,2007,8.5,2007,1,False,5
38,4,3,GW Bridge mid-channel,1.0,245.99999999999991,2007,8.5,2007,1,False,6
39,4,3,Gowanus Canal,1.0,274.00000000000006,2007,8.5,2007,1,False,7
40,4,3,Harlem River- Washington Bridge,1.0,244.00000000000006,2007,8.5,2007,1,False,8
41,4,3,Harlem River- Willis Ave. Bridge,1.0,356.0,2007,8.5,2007,1,False,9
42,4,3,Newtown Creek- Dutch Kills,1.0,351.9999999999999,2007,8.5,2007,1,False,10
43,4,3,Newtown Creek- Metropolitan Ave. Bridge,1.0,893.9999999999997,2007,8.5,2007,1,False,11
44,4,3,North River STP at 145th,1.0,236.0000000000001,2007,8.5,2007,1,False,12
45,4,3,Orangetown STP Outfall,1.0,584.0,2007,8.5,2007,1,False,13
46,4,3,Piermont Pier,2.0,617.154761789942,2010,4.35,2007,2,False,18
47,4,3,Saw Mill River,1.0,1495.9999999999993,2007,8.5,2007,1,False,14
48,4,3,TZ Bridge mid-channel,1.0,252.00000000000003,2007,8.5,2007,1,False,15
49,4,3,The Battery mid-channel,1.0,274.00000000000006,2007,8.5,2007,1,False,16
50,4,3,Upper Sparkill Creek,1.0,236.0000000000001,2010,0.2,2010,1,False,17
51,4,3,Yonkers STP Outfall,0.0,103.00000000000001,2007,8.5,2007,1,True,1
52,4,3,Yonkers mid-channel,0.0,10.000000000000002,2007,8.5,2007,1,True,2
53,4,4,Cedar Pond Brook,0.0,33.0,2007,0.0,2007,1,True,1
54,4,4,Croton Point Beach,0.0,17.0,2007,0.0,2007,1,True,2
55,4,4,Furnace Brook,0.0,29.000000000000004,2007,0.0,2007,1,True,3
56,4,4,Haverstraw Bay mid-channel,1.0,164.00000000000006,2007,0.0,2007,1,False,6
57,4,4,Orangetown STP Outfall,1.0,1500.0,2007,0.0,2007,1,False,7
58,4,4,Ossining Beach,0.0,43.0,2007,0.0,2007,1,True,4
59,4,4,Piermont Pier,3.0,205.23081752111761,2010,0.675,2007,4,False,10
60,4,4,Stony Point mid-channel,1.0,195.99999999999991,2007,0.0,2007,1,False,8
61,4,4,TZ Bridge mid-channel,0.0,85.99999999999997,2007,0.0,2007,1,True,5
62,4,4,Upper Sparkill Creek,2.0,422.44200971068244,2010,0.9,2009,3,False,9
63,5,1,Nyack Launch Ramp,0.0,19.999999999999996,2011,0.4,2011,1,True,1
64,5,1,Piermont Pier,3.0,290.69737436729355,2011,0.7333333333333334,2009,3,False,2
65,5,1,Upper Sparkill Creek,3.0,440.2456961110256,2011,0.7333333333333333,2009,3,False,3
66,5,2,125th St. Pier,0.0,10.000000000000002,2009,0.6,2009,1,True,1
67,5,2,79th St. mid-channel,0.0,10.000000000000002,2009,0.6,2009,1,True,2
68,5,2,Annesville Creek,0.0,4.999999999999999,2009,0.0,2009,1,True,35
69,5,2,Beacon Harbor,0.0,6.0,2009,0.1,2009,1,True,15
70,5,2,"Castle Point, NJ",0.0,19.999999999999996,2009,0.6,2009,1,True,3
71,5,2,Cedar Pond Brook,0.0,7.999999999999998,2009,0.0,2009,1,True,36
72,5,2,Cold Spring Harbor,0.0,6.0,2009,0.1,2009,1,True,16
73,5,2,Croton Point Beach,0.0,10.000000000000002,2009,0.0,2009,1,True,37
74,5,2,Dyckman Street Beach,0.0,52.00000000000001,2009,0.6,2009,1,True,4
75,5,2,East River mid-channel at 23rd St.,0.0,10.000000000000002,2009,0.6,2009,1,True,5
76,5,2,East River mid-channel at Roosevelt Is.,0.0,10.000000000000002,2009,0.6,2009,1,True,6
77,5,2,Emeline Beach- Haverstraw,0.0,4.999999999999999,2009,0.0,2009,1,True,38
78,5,2,Esopus Creek Entrance,0.0,10.000000000000002,2009,0.1,2009,1,True,17
79,5,2,Esopus Creek West,0.0,11.000000000000002,2009,0.1,2009,1,True,18
80,5,2,Fort Montgomery,0.0,2.0,2009,0.0,2009,1,True,39
81,5,2,Furnace Brook,0.0,6.0,2009,0.0,2009,1,True,40
82,5,2,GW Bridge mid-channel,0.0,10.000000000000002,2009,0.6,2009,1,True,7
83,5,2,Harlem River- Washington Bridge,0.0,52.00000000000001,2009,0.6,2009,1,True,8
84,5,2,Harlem River- Willis Ave. Bridge,0.0,19.999999999999996,2009,0.6,2009,1,True,9
85,5,2,Haverstraw Bay mid-channel,0.0,6.0,2009,0.0,2009,1,True,41
86,5,2,Irvington Beach,0.0,10.000000000000002,2009,0.0,2009,1,True,42
87,5,2,Kingsland Pt. Park- Pocantico River,0.0,10.000000000000002,2009,0.0,2009,1,True,43
88,5,2,Kingston Point Beach,0.0,7.999999999999998,2009,0.1,2009,1,True,19
89,5,2,Kingston STP Outfall,1.0,152.0,2009,0.1,2009,1,False,50
90,5,2,Little Stony Point,0.0,1.0,2009,0.1,2009,1,True,20
91,5,2,Marlboro Landing,0.0,2.0,2009,0.1,2009,1,True,21
92,5,2,Newburgh Launch Ramp,0.0,2.0,2009,0.1,2009,1,True,22
93,5,2,Newtown Creek- Dutch Kills,0.0,10.000000000000002,2009,0.6,2009,1,True,10
94,5,2,Newtown Creek- Metropolitan Ave. Bridge,0.0,10.000000000000002,2009,0.6,2009,1,True,11
95,5,2,Norrie Point Yacht Basin,0.0,6.0,2009,0.1,2009,1,True,23
96,5,2,Norrie Point mid-channel,0.0,3.0000000000000004,2009,0.1,2009,1,True,24
97,5,2,North River STP at 145th,0.0,19.999999999999996,2009,0.6,2009,1,True,12
98,5,2,Nyack Launch Ramp,0.0,27.386127875258303,2010,0.05,2009,2,True,34
99,5,2,Orangetown STP Outfall,1.0,1396.0,2009,0.0,2009,1,False,52
100,5,2,Ossining Beach,0.0,10.000000000000002,2009,0.0,2009,1,True,44
101,5,2,Peekskill Riverfront Green Park,0.0,57.00000000000001,2009,0.0,2009,1,True,45
102,5,2,Pier 96 Kayak Launch,0.0,19.999999999999996,2009,0.6,2009,1,True,13
103,5,2,Piermont Pier,1.0,109.88630487917955,2010,0.05,2009,2,False,51
104,5,2,Port Ewen Drinking Water Intake,0.0,2.0,2009,0.1,2009,1,True,25
105,5,2,Poughkeepsie Drinking Water Intake,0.0,4.0,2009,0.1,2009,1,True,26
106,5,2,Poughkeepsie Launch Ramp,0.0,22.000000000000004,2009,0.1,2009,1,True,27
107,5,2,Rondout- Eddyville Anchorage,0.0,31.0,2009,0.1,2009,1,True,28
108,5,2,Rondout- Kingston Public Dock,0.0,40.0,2009,0.1,2009,1,True,29
109,5,2,Saw Mill River,1.0,245.99999999999991,2009,0.0,2009,1,False,53
110,5,2,Stony Point mid-channel,0.0,2.0,2009,0.0,2009,1,True,46
111,5,2,TZ Bridge mid-channel,0.0,10.000000000000002,2009,0.0,2009,1,True,47
112,5,2,The Battery mid-channel,0.0,10.000000000000002,2009,0.6,2009,1,True,14
113,5,2,Tivoli Landing,0.0,3.0000000000000004,2009,0.1,2009,1,True,30
114,5,2,Ulster Landing Beach,0.0,1.0,2009,0.1,2009,1,True,31
115,5,2,Upper Sparkill Creek,3.0,365.28698235255564,2012,0.45,2008,4,False,54
116,5,2,Wappingers Creek,0.0,6.0,2009,0.1,2009,1,True,32
117,5,2,West Point STP Outfall,0.0,3.0000000000000004,2009,0.1,2009,1,True,33
118,5,2,Yonkers STP Outfall,0.0,10.000000000000002,2009,0.0,2009,1,True,48
119,5,2,Yonkers mid-channel,0.0,10.000000000000002,2009,0.0,2009,1,True,49
120,5,3,125th St. Pier,2.0,58.68320816046905,2012,0.925,2008,4,False,63
121,5,3,79th St. mid-channel,0.0,28.244412314777705,2012,0.925,2008,4,True,7
122,5,3,Albany Rowing Dock,1.0,106.53438463013961,2012,0.7000000000000001,2009,3,False,48
123,5,3,Annesville Creek,1.0,47.233783149178564,2012,1.0666666666666667,2008,3,False,26
124,5,3,Athens,1.0,38.0244533281022,2012,0.7333333333333334,2009,3,False,44
125,5,3,Beacon Harbor,0.0,8.40611799196616,2012,0.8333333333333334,2008,3,True,14
126,5,3,Bethlehem Launch Ramp,1.0,101.25602463770088,2012,0.7000000000000001,2009,3,False,49
127,5,3,"Castle Point, NJ",1.0,32.964317323076635,2012,0.925,2008,4,False,29
128,5,3,Castleton,2.0,124.0506210246423,2012,0.7000000000000001,2009,3,False,68
129,5,3,Catskill Creek- East End,1.0,14.068015852622848,2012,0.675,2009,4,False,53
130,5,3,Catskill Creek- First Bridge,1.0,0.0,2012,0.7333333333333334,2009,3,False,45
131,5,3,Catskill Launch Ramp,1.0,18.77197423702792,2012,0.7333333333333334,2009,3,False,46
132,5,3,Cedar Pond Brook,1.0,35.1969035728318,2012,0.85,2007,4,False,36
133,5,3,Coeymans Landing,1.0,35.01876544720572,2012,0.7000000000000001,2009,3,False,50
134,5,3,Cold Spring Harbor,0.0,5.099019513592785,2012,1.2,2011,2,True,1
135,5,3,Congress St. Bridge- Troy,0.0,33.26666022797656,2012,0.65,2009,4,True,19
136,5,3,Coxsackie Waterfront Park,1.0,45.24312849066956,2012,0.7000000000000001,2009,3,False,51
137,5,3,Croton Point Beach,1.0,22.054828502634354,2012,0.775,2007,4,False,42
138,5,3,Dunn Memorial Bridge- Albany,2.0,180.62321676848808,2012,0.65,2009,4,False,70
139,5,3,Dyckman Street Beach,0.0,16.548754598234364,2012,0.925,2008,4,True,8
140,5,3,East River mid-channel at 23rd St.,1.0,28.074323250862903,2012,0.9,2007,5,False,34
141,5,3,East River mid-channel at Roosevelt Is.,1.0,20.626219908738808,2012,0.925,2008,4,False,30
142,5,3,Emeline Beach- Haverstraw,1.0,113.56580502235161,2012,1.0666666666666667,2008,3,False,27
